"Model";"Strategy";"Intercept";"Slope";"AUC";"RMSE";"Brier";"MAE"
"FLR";"CMI";0.027;0.984;0.634;0.223;0.123;0.149
"FLR";"SDI";0.105;0.297;0.581;0.244;0.133;0.168
"FLR";"MDI";0.009;0.94;0.631;0.222;0.123;0.159
"FLR";"BOS";0.003;0.981;0.627;0.227;0.125;0.144
"FLR";"SS";NA;NA;NA;NA;NA;NA
"RF";"CMI";0.064;0.788;0.592;0.24;0.131;0.171
"RF";"SDI";0.092;0.355;0.643;0.221;0.122;0.162
"RF";"MDI";-0.003;0.951;0.635;0.221;0.123;0.158
"RF";"BOS";0.085;0.41;0.607;0.237;0.13;0.167
"RF";"SS";0.091;0.849;0.617;0.238;0.13;0.136
